id,content,type,option_a,option_b,option_c,option_d,option_e,option_f,correct_answer,explanation,category,chapter,image
1,铸造的两大基本要素是浇注和铸型。,judge,正确,错误,,,,,错,,,铸造,
2,型砂是制造砂型的主要材料。,judge,正确,错误,,,,,对,,,铸造,
3,砂型铸造用模样的外形尺寸比铸件尺寸要大一些。,judge,正确,错误,,,,,对,,,铸造,
4,铸造用模样的结构特点之一是所有模样壁上均做出了斜度(称拔模斜度)。,judge,正确,错误,,,,,错,,,铸造,
5,模样和铸件的区别之一是模样上带有拔模斜度。,judge,正确,错误,,,,,错,,,铸造,
6,为了铸出孔，所用的砂芯的直径比零件孔的直径大。,judge,正确,错误,,,,,错,,,铸造,
7,对于形状复杂的薄壁铸件，浇注温度应高，浇注速度应慢。,judge,正确,错误,,,,,错,,,铸造,
8,典型的浇注系统包括冒口和横浇道。,judge,正确,错误,,,,,错,,,铸造,
9,手工造型适用于单件小批生产。,judge,正确,错误,,,,,对,,,铸造,
10,为了改善砂型的透气性，应在砂型的上下箱都扎通气孔。,judge,正确,错误,,,,,错,,,铸造,
11,机器造型不能采用挖砂造型。,judge,正确,错误,,,,,对,,,铸造,
12,机器造型时只允许有一个分型面。,judge,正确,错误,,,,,对,,,铸造,
13,铸件中出现砂眼，与浇口设计不当无关。,judge,正确,错误,,,,,错,,,铸造,
14,铸件中出现夹砂，与浇注温度过高无关。,judge,正确,错误,,,,,错,,,铸造,
15,芯骨的作用是用来增加砂型的强度。,judge,正确,错误,,,,,对,,,铸造,
16,型芯的主要作用是构成铸件的内腔或孔。,judge,正确,错误,,,,,对,,,铸造,
17,机器造型适宜于成批大量生产。,judge,正确,错误,,,,,对,,,铸造,
18,金属型铸造适用于单件小批生产。,judge,正确,错误,,,,,错,,,铸造,
19,铸件浇注不足与浇注温度、浇注速度及铸件壁厚有关。,judge,正确,错误,,,,,对,,,铸造,
20,春砂时，砂型的紧实度越高，强度也越高，则铸件质量便越好。,judge,正确,错误,,,,,错,,,铸造,
21,分模造型适用于最大截面不在端部的铸件。,judge,正确,错误,,,,,对,,,铸造,
22,特种铸造是指砂型铸造以外的其他铸造方法。,judge,正确,错误,,,,,对,,,铸造,
23,用离心铸造中空的旋转体铸件，不需要型芯和浇注系统。,judge,正确,错误,,,,,对,,,铸造,
24,砂型铸造是生产大型铸件的唯一方法。,judge,正确,错误,,,,,错,,,铸造,
25,铸造毛坯最适于制造承受重载或冲击载荷的重要零件。,judge,正确,错误,,,,,错,,,铸造,
